"filename", "language", "YAML", "XML", "HTML", "Properties", "Markdown", "Groovy", "Go", "Batch", "Shell Script", "Objective-C", "C++", "JSON", "Dart", "Java", "comment", "blank", "total"
"/Users/bmixo/Desktop/dart/download/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/bmixo/Desktop/dart/download/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/bmixo/Desktop/dart/download/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/bmixo/Desktop/dart/download/ios/Runner/main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/bmixo/Desktop/dart/download/lib/flutter_candlesticks.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 24, 44, 304
"/Users/bmixo/Desktop/dart/download/lib/itemDownloadFinish.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 4, 6, 65
"/Users/bmixo/Desktop/dart/download/lib/itemDownloading.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 8, 5, 85
"/Users/bmixo/Desktop/dart/download/lib/itemTrash.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"/Users/bmixo/Desktop/dart/download/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333, 0, 1, 39, 373
"/Users/bmixo/Desktop/dart/download/lib/main_desktop.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"/Users/bmixo/Desktop/dart/download/lib/portfolio/breakdown_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 6, 83
"/Users/bmixo/Desktop/dart/download/lib/portfolio/portfolio_tabs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 721, 0, 2, 46, 769
"/Users/bmixo/Desktop/dart/download/lib/portfolio/transaction_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 7, 103
"/Users/bmixo/Desktop/dart/download/lib/portfolio/transaction_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 13, 16, 247
"/Users/bmixo/Desktop/dart/download/lib/settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 408, 0, 0, 19, 427
"/Users/bmixo/Desktop/dart/download/lib/sparkline.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 93, 62, 424
"/Users/bmixo/Desktop/dart/download/lib/tabs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 839, 0, 15, 36, 890
"/Users/bmixo/Desktop/dart/download/pubspec.yaml", "YAML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/bmixo/Desktop/dart/download/trace.iml", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/bmixo/Desktop/dart/download/trace_android.iml", "XML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"Total", "-", 27, 201, 10, 7, 68, 96, 341, 66, 9, 16, 4, 145, 3352, 12, 192, 445, 4991
